COMPETITION_WYID,MATCH_WYID,PLAYER_WYID,SHORTNAME,MINUTESONFIELD25_26,GOALS_PER90,ASSISTS_PER90,SHOTS_PER90,HEADSHOTS_PER90,YELLOWCARDS_PER90,REDCARDS_PER90,DIRECTREDCARDS_PER90,PENALTIES_PER90,LINKUPPLAYS_PER90,DUELS_PER90,DUELSWON_PER90,DEFENSIVEDUELS_PER90,DEFENSIVEDUELSWON_PER90,OFFENSIVEDUELS_PER90,OFFENSIVEDUELSWON_PER90,AERIALDUELS_PER90,AERIALDUELSWON_PER90,FOULS_PER90,PASSES_PER90,SUCCESSFULPASSES_PER90,SMARTPASSES_PER90,SUCCESSFULSMARTPASSES_PER90,PASSESTOFINALTHIRD_PER90,SUCCESSFULPASSESTOFINALTHIRD_PER90,CROSSES_PER90,SUCCESSFULCROSSES_PER90,FORWARDPASSES_PER90,SUCCESSFULFORWARDPASSES_PER90,BACKPASSES_PER90,SUCCESSFULBACKPASSES_PER90,THROUGHPASSES_PER90,SUCCESSFULTHROUGHPASSES_PER90,KEYPASSES_PER90,SUCCESSFULKEYPASSES_PER90,VERTICALPASSES_PER90,SUCCESSFULVERTICALPASSES_PER90,LONGPASSES_PER90,SUCCESSFULLONGPASSES_PER90,DRIBBLES_PER90,SUCCESSFULDRIBBLES_PER90,INTERCEPTIONS_PER90,DEFENSIVEACTIONS_PER90,SUCCESSFULDEFENSIVEACTIONS_PER90,ATTACKINGACTIONS_PER90,SUCCESSFULATTACKINGACTIONS_PER90,FREEKICKS_PER90,FREEKICKSONTARGET_PER90,DIRECTFREEKICKS_PER90,DIRECTFREEKICKSONTARGET_PER90,CORNERS_PER90,SUCCESSFULPENALTIES_PER90,SUCCESSFULLINKUPPLAYS_PER90,ACCELERATIONS_PER90,PRESSINGDUELS_PER90,PRESSINGDUELSWON_PER90,LOOSEBALLDUELS_PER90,LOOSEBALLDUELSWON_PER90,MISSEDBALLS_PER90,SHOTASSISTS_PER90,SHOTONTARGETASSISTS_PER90,RECOVERIES_PER90,OPPONENTHALFRECOVERIES_PER90,DANGEROUSOPPONENTHALFRECOVERIES_PER90,LOSSES_PER90,OWNHALFLOSSES_PER90,DANGEROUSOWNHALFLOSSES_PER90,XGSHOT_PER90,XGASSIST_PER90,XGSAVE_PER9O,RECEIVEDPASS_PER90,TOUCHINBOX_PER90,PROGRESSIVERUN_PER90,OFFSIDES_PER90,CLEARANCES_PER90,SECONDASSISTS_PER90,THIRDASSISTS_PER90,SHOTSBLOCKED_PER90,FOULSSUFFERED_PER90,PROGRESSIVEPASSES_PER90,COUNTERPRESSINGRECOVERIES_PER90,SLIDINGTACKLES_PER90,GOALKICKS_PER90,DRIBBLESAGAINST_PER90,DRIBBLESAGAINSTWON_PER90,GOALKICKSSHORT_PER90,GOALKICKSLONG_PER90,SHOTSONTARGET_PER90,SUCCESSFULPROGRESSIVEPASSES_PER90,SUCCESSFULSLIDINGTACKLES_PER90,SUCCESSFULGOALKICKS_PER90,FIELDAERIALDUELS_PER90,FIELDAERIALDUELSWON_PER90,GKCLEANSHEETS_PER90,GKCONCEDEDGOALS_PER90,GKSHOTSAGAINST_PER90,GKEXITS_PER9O,GKSUCCESSFULEXITS_PER90,GKAERIALDUELS_PER90,GKAERIALDUELSWON_PER90,GKSAVES_PER90,LATERALPASSES_PER90,SUCCESSFULLATERALPASSES_PER90
3135,5605602,1077523,N. Aagaard,21,0.000000,0.000000,4.285710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.571420,4.285710,4.285710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.857130,12.857130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.571420,8.571420,4.285710,4.285710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.285710,8.571420,4.285710,4.285710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.285710,0.000000,4.285710,4.285710,0.000000,0.000000,0.000000,4.285710,0.000000,0.000000,4.285710,4.285710,0.000000,0.08571428571,0,0,12.857130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.285710,0.000000,0.000000,0.000000,4.285710,0.000000,0.000000,0.000000,0.000000,4.285710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3135,5605602,961229,M. Gramkow,64,0.000000,2.812500,1.406250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.062500,2.812500,4.218750,0.000000,7.031250,2.812500,2.812500,0.000000,1.406250,61.875000,56.250000,0.000000,0.000000,4.218750,4.218750,7.031250,5.625000,12.656250,12.656250,14.062500,12.656250,0.000000,0.000000,4.218750,4.218750,29.531250,25.312500,2.812500,2.812500,1.406250,1.406250,2.812500,7.031250,5.625000,9.843750,8.437500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.437500,4.218750,8.437500,4.218750,2.812500,7.031250,0.000000,0.000000,0.0140625,0.871875,0,53.437500,4.218750,4.218750,1.406250,0.000000,0.000000,0.000000,0.000000,0.000000,14.062500,4.218750,0.000000,0.000000,1.406250,1.406250,0.000000,0.000000,1.406250,14.062500,0.000000,0.000000,2.812500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.531250,25.312500
3135,5605602,912302,G. Carlstedt,14,6.428610,0.000000,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.428610,6.428610,6.428610,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,12.857130,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.428610,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.428610,6.428610,0.000000,0.000000,6.428610,12.857130,12.857130,6.428610,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.857130,0.000000,0.000000,12.857130,6.428610,0.000000,3.407142857,0,0,12.857130,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3135,5605602,1101577,S. Jensen,31,0.000000,0.000000,2.903220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.419320,5.806440,5.806440,0.000000,5.806440,5.806440,0.000000,0.000000,2.903220,34.838730,29.032290,0.000000,0.000000,2.903220,0.000000,0.000000,0.000000,8.709660,5.806440,2.903220,2.903220,0.000000,0.000000,0.000000,0.000000,17.419320,14.516100,2.903220,0.000000,2.903220,2.903220,0.000000,5.806440,2.903220,5.806440,2.903220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.806440,0.000000,0.000000,2.903220,0.000000,0.000000,0.000000,0.000000,2.903220,2.903220,0.000000,0.2032258065,0.05806451613,0,29.032290,2.903220,2.903220,0.000000,0.000000,0.000000,0.000000,0.000000,2.903220,5.806440,0.000000,0.000000,0.000000,2.903220,2.903220,0.000000,0.000000,0.000000,2.903220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.419320,14.516100
3135,5605602,1064886,A. Groth,74,1.216260,0.000000,7.297290,3.648690,0.000000,0.000000,0.000000,0.000000,3.648690,12.162150,3.648690,0.000000,0.000000,9.729720,2.432430,1.216260,0.000000,0.000000,13.378410,10.945980,0.000000,0.000000,1.216260,0.000000,0.000000,0.000000,2.432430,1.216260,4.864860,4.864860,0.000000,0.000000,0.000000,0.000000,4.864860,3.648690,0.000000,0.000000,1.216260,1.216260,2.432430,3.648690,3.648690,8.513550,3.648690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.216260,0.000000,4.864860,0.000000,1.216260,1.216260,0.000000,2.432430,0.000000,2.432430,2.432430,1.216260,9.729720,1.216260,0.000000,0.7418918919,0.1216216216,0,13.378410,9.729720,2.432430,3.648690,0.000000,0.000000,0.000000,0.000000,0.000000,1.216260,1.216260,1.216260,0.000000,0.000000,0.000000,0.000000,0.000000,3.648690,0.000000,1.216260,0.000000,1.216260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.864860,3.648690
3135,5605602,869208,O. Alsted,95,0.000000,0.000000,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.421010,4.736880,5.684220,1.894770,1.894770,1.894770,0.000000,0.000000,1.894770,83.368440,81.473670,0.000000,0.000000,7.578990,6.631560,0.000000,0.000000,18.947340,18.000000,1.894770,1.894770,0.000000,0.000000,0.947340,0.947340,51.157890,50.210550,1.894770,1.894770,1.894770,1.894770,0.947340,6.631560,4.736880,2.842110,2.842110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.842110,0.947340,0.000000,0.000000,0.947340,9.473670,0.000000,0.000000,0.000000,0.000000,0.000000,0.05684210526,0,0,67.263120,0.000000,4.736880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.578990,1.894770,0.000000,3.789450,2.842110,0.947340,3.789450,0.000000,0.947340,6.631560,0.000000,3.789450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.157890,50.210550
3135,5605602,961227,A. Søgaard,95,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.842110,11.368440,7.578990,2.842110,8.526330,5.684220,1.894770,0.947340,2.842110,62.526330,58.736880,0.000000,0.000000,12.315780,10.421010,0.000000,0.000000,21.789450,18.947340,6.631560,6.631560,2.842110,1.894770,0.000000,0.000000,22.736880,21.789450,9.473670,7.578990,0.947340,0.947340,5.684220,13.263120,10.421010,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.842110,1.894770,0.000000,1.894770,0.000000,12.315780,7.578990,2.842110,11.368440,5.684220,0.947340,0,0.1042105263,0,42.631560,0.000000,1.894770,0.000000,0.000000,0.000000,0.000000,0.947340,2.842110,13.263120,5.684220,0.000000,0.000000,1.894770,1.894770,0.000000,0.000000,0.000000,12.315780,0.000000,0.000000,1.894770,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.736880,21.789450
3135,5605602,961233,Y. Taffal,80,0.000000,0.000000,7.875000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.750000,20.250000,6.750000,3.375000,24.750000,15.750000,1.125000,0.000000,0.000000,42.750000,30.375000,2.250000,1.125000,7.875000,5.625000,2.250000,2.250000,19.125000,12.375000,2.250000,1.125000,5.625000,2.250000,2.250000,2.250000,14.625000,10.125000,7.875000,5.625000,16.875000,15.750000,0.000000,7.875000,6.750000,29.250000,14.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.125000,0.000000,1.125000,1.125000,0.000000,3.375000,2.250000,5.625000,4.500000,2.250000,11.250000,1.125000,1.125000,0.675,0.25875,0,33.750000,6.750000,3.375000,0.000000,0.000000,0.000000,0.000000,0.000000,1.125000,12.375000,2.250000,1.125000,0.000000,0.000000,0.000000,0.000000,0.000000,2.250000,10.125000,0.000000,0.000000,1.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.625000,10.125000
3135,5605602,961221,A. Lønborg,95,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.368440,7.578990,5.684220,1.894770,1.894770,1.894770,2.842110,2.842110,0.000000,66.315780,63.473670,0.000000,0.000000,13.263120,12.315780,0.000000,0.000000,32.210550,29.368440,3.789450,3.789450,1.894770,0.000000,0.000000,0.000000,27.473670,27.473670,6.631560,4.736880,0.947340,0.947340,2.842110,8.526330,8.526330,0.947340,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.947340,0.000000,0.947340,0.947340,0.000000,0.000000,0.000000,11.368440,1.894770,0.000000,2.842110,0.947340,0.000000,0,0,0,52.105230,0.000000,3.789450,0.000000,0.947340,0.000000,0.947340,0.000000,0.000000,14.210550,3.789450,0.000000,0.947340,0.947340,0.947340,0.947340,0.000000,0.000000,14.210550,0.000000,0.947340,2.842110,2.842110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.473670,27.473670
3135,5605602,1101570,H. Bloch,95,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.526330,26.526330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.789450,3.789450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.052660,17.052660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.526330,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.1610526316,13.263120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.947340,0.000000,0.000000,0.947340,0.000000,0.000000,0.000000,0.000000,0.947340,0.000000,0.000000,0.947340,0.000000,2.842110,0.000000,0.000000,0.000000,0.000000,2.842110,17.052660,17.052660
3135,5605602,1055730,M.  Torres-Bjelke,74,0.000000,0.000000,1.216260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.594580,7.297290,1.216260,0.000000,9.729720,6.081120,0.000000,0.000000,0.000000,46.216260,43.783740,0.000000,0.000000,6.081120,6.081120,2.432430,2.432430,18.243270,15.810840,9.729720,9.729720,1.216260,0.000000,2.432430,2.432430,14.594580,14.594580,4.864860,3.648690,4.864860,3.648690,2.432430,4.864860,3.648690,8.513550,6.081120,0.000000,0.000000,0.000000,0.000000,4.864860,0.000000,0.000000,0.000000,1.216260,0.000000,3.648690,1.216260,0.000000,3.648690,2.432430,7.297290,2.432430,0.000000,4.864860,1.216260,0.000000,0.04864864865,0.3527027027,0,34.054020,2.432430,4.864860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.729720,4.864860,1.216260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.729720,1.216260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.594580,14.594580
3135,5605602,1101571,J. Østergaard,80,0.000000,0.000000,1.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.875000,13.500000,13.500000,6.750000,9.000000,5.625000,0.000000,0.000000,0.000000,45.000000,32.625000,0.000000,0.000000,4.500000,4.500000,6.750000,2.250000,12.375000,6.750000,11.250000,11.250000,0.000000,0.000000,0.000000,0.000000,13.500000,10.125000,1.125000,1.125000,2.250000,2.250000,2.250000,15.750000,11.250000,10.125000,5.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.125000,1.125000,0.000000,3.375000,1.125000,1.125000,1.125000,0.000000,10.125000,7.875000,0.000000,12.375000,4.500000,0.000000,0.09,0.07875,0,32.625000,3.375000,4.500000,0.000000,0.000000,0.000000,0.000000,1.125000,0.000000,6.750000,2.250000,0.000000,0.000000,4.500000,1.125000,0.000000,0.000000,1.125000,6.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.500000,10.125000
3135,5605602,1101572,W. Adelsten,95,0.000000,0.000000,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.473670,3.789450,4.736880,0.947340,1.894770,1.894770,1.894770,0.947340,0.947340,47.368440,39.789450,0.000000,0.000000,1.894770,0.947340,0.947340,0.000000,15.157890,10.421010,8.526330,8.526330,0.000000,0.000000,0.000000,0.000000,17.052660,16.105230,1.894770,0.000000,0.947340,0.947340,1.894770,6.631560,4.736880,2.842110,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.894770,0.000000,0.947340,0.000000,0.000000,0.000000,0.000000,3.789450,3.789450,1.894770,6.631560,0.947340,0.000000,0.02842105263,0,0,41.684220,0.000000,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,1.894770,7.578990,0.947340,0.000000,0.000000,1.894770,0.947340,0.000000,0.000000,0.000000,5.684220,0.000000,0.000000,1.894770,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.052660,16.105230
3135,5605602,1063059,J. Jepsen,95,2.842110,0.000000,7.578990,1.894770,0.000000,0.000000,0.000000,0.000000,1.894770,22.736880,8.526330,1.894770,0.000000,18.000000,8.526330,0.947340,0.000000,0.947340,17.052660,13.263120,0.947340,0.000000,1.894770,1.894770,0.000000,0.000000,5.684220,3.789450,3.789450,3.789450,0.947340,0.000000,0.000000,0.000000,4.736880,3.789450,0.000000,0.000000,3.789450,3.789450,0.000000,1.894770,0.947340,12.315780,5.684220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.947340,0.000000,1.894770,0.000000,1.894770,0.000000,0.000000,0.947340,0.000000,0.947340,0.947340,0.000000,10.421010,1.894770,0.947340,0.9094736842,0.1421052632,0,19.894770,8.526330,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.947340,0.947340,0.000000,0.000000,0.947340,0.000000,0.000000,0.000000,3.789450,0.947340,0.000000,0.000000,0.947340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.736880,3.789450
3135,5605602,961234,W. Valeur,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.428610,6.428610,0.000000,0.000000,6.428610,6.428610,0.000000,0.000000,0.000000,38.571390,38.571390,0.000000,0.000000,19.285740,19.285740,0.000000,0.000000,25.714260,25.714260,6.428610,6.428610,0.000000,0.000000,0.000000,0.000000,6.428610,6.428610,0.000000,0.000000,0.000000,0.000000,6.428610,6.428610,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,25.714260,6.428610,6.428610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.285740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19.285740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.428610,6.428610
3135,5605602,1055943,J. Rosengreen,21,0.000000,8.571420,0.000000,0.000000,4.285710,0.000000,0.000000,0.000000,4.285710,55.714320,12.857130,17.142840,0.000000,34.285680,8.571420,0.000000,0.000000,8.571420,25.714260,21.428550,0.000000,0.000000,0.000000,0.000000,12.857130,12.857130,4.285710,4.285710,4.285710,4.285710,0.000000,0.000000,8.571420,8.571420,12.857130,8.571420,0.000000,0.000000,4.285710,4.285710,0.000000,17.142840,0.000000,17.142840,12.857130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.285710,0.000000,12.857130,0.000000,4.285710,4.285710,0.000000,8.571420,8.571420,0.000000,0.000000,0.000000,17.142840,8.571420,4.285710,0,3.514285714,0,17.142840,12.857130,4.285710,4.285710,0.000000,0.000000,0.000000,0.000000,4.285710,0.000000,0.000000,0.000000,0.000000,4.285710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.857130,8.571420
